"id","meal_id","ingredient_name","quantity","unit","is_optional","order_index"
1,1,"chicken","500.0","g",False,NULL
2,1,"onion","180.0","g",False,NULL
3,1,"oil","15.0","ml",False,NULL
4,1,"tomato","180.0","g",False,NULL
5,1,"turmeric","1.25","g",False,NULL
6,1,"ginger","11.25","g",False,NULL
7,1,"garlic","11.25","g",False,NULL
8,1,"salt","2.5","g",True,NULL
9,1,"coriander","90.0","g",False,NULL
10,1,"nutmeg powder","1.25","g",False,NULL
11,1,"clove","0.4","g",False,NULL
12,1,"strand mace","1.0","g",False,NULL
13,1,"black pepper","4.0","g",False,NULL
14,1,"red chili","8.0","g",False,NULL
15,1,"coconut","60.0","g",False,NULL
16,1,"cinnamon","1.0","g",False,NULL
17,1,"cardamom","0.8","g",False,NULL
18,1,"cumin","5.0","g",False,NULL
19,2,"coconut","60.0","g",False,NULL
20,2,"cashew","18.0","g",False,NULL
21,2,"fennel seeds","5.0","g",False,NULL
22,2,"water","2670.0","ml",False,NULL
23,2,"strand mace","1.0","g",True,NULL
24,2,"cumin","2.5","g",False,NULL
25,2,"cardamom","0.4","g",False,NULL
26,2,"clove","0.3","g",False,NULL
27,2,"cinnamon","1.0","g",False,NULL
28,2,"oil","30.0","ml",False,NULL
29,2,"onion","240.0","g",False,NULL
30,2,"green chili","5.0","g",True,NULL
31,2,"garlic","11.25","g",False,NULL
32,2,"tomato","180.0","g",False,NULL
33,2,"salt","3.75","g",False,NULL
34,2,"bean","180.0","g",False,NULL
35,2,"carrot","180.0","g",False,NULL
36,2,"cauliflower","180.0","g",False,NULL
37,2,"potato","240.0","g",False,NULL
38,2,"green peas","180.0","g",False,NULL
39,2,"coriander","30.0","g",False,NULL
40,2,"turmeric","1.25","g",False,NULL
41,2,"chili","5.0","g",False,NULL
42,2,"garam masala","5.0","g",False,NULL
43,4,"paneer","250.0","g",False,NULL
44,4,"yogurt","125.0","ml",False,NULL
45,4,"garlic","57.5","g",False,NULL
46,4,"chili","1.25","g",False,NULL
47,4,"garam masala","6.25","g",False,NULL
48,4,"fenugreek","6.25","g",False,NULL
49,4,"turmeric","0.62","g",True,NULL
50,4,"salt","2.5","g",True,NULL
51,4,"oil","20.0","ml",False,NULL
52,4,"capsicum","50.0","g",True,NULL
53,4,"onion","290.0","g",True,NULL
54,4,"cinnamon","6.0","g",True,NULL
55,4,"tomato","2520.0","g",False,NULL
56,4,"cashew","21.0","g",False,NULL
57,4,"red chili","3.75","g",False,NULL
58,4,"sugar","5.0","g",True,NULL
59,4,"water","360.0","ml",False,NULL
60,4,"cream","45.0","ml",False,NULL
61,4,"cilantro","30.0","g",False,NULL
62,5,"paneer","200.0","g",False,NULL
63,5,"onion","1380.0","g",False,NULL
64,5,"tomato","80.0","g",False,NULL
65,5,"capsicum","80.0","g",False,NULL
66,5,"cashew","10.5","g",False,NULL
67,5,"oil","17.0","ml",False,NULL
68,5,"cumin","2.5","g",False,NULL
69,5,"cardamom","0.4","g",False,NULL
70,5,"garlic","5.0","g",False,NULL
71,5,"red chili","5.0","g",False,NULL
72,5,"garam masala","3.75","g",False,NULL
73,5,"coriander","3.75","g",False,NULL
74,5,"salt","2.5","g",True,NULL
75,5,"water","180.0","ml",True,NULL
76,5,"kasuri","2.5","g",False,NULL
77,5,"green chili","10.0","g",False,NULL
78,6,"rice","480.0","g",False,NULL
79,6,"urad","120.0","g",False,NULL
80,6,"fenugreek","5.0","g",False,NULL
81,6,"potato","600.0","g",False,NULL
82,6,"mustard","5.0","g",False,NULL
83,6,"curry leafs","10.0","g",False,NULL
84,6,"green chili","10.0","g",False,NULL
85,6,"turmeric","2.5","g",False,NULL
86,6,"ginger","1.0","g",False,NULL
87,6,"onion","100.0","g",False,NULL
88,6,"oil","1.0","ml",True,NULL
89,6,"salt","1.0","g",True,NULL
90,7,"garlic","240.0","g",False,NULL
91,7,"water","241.0","ml",True,NULL
92,7,"mustard","10.0","g",False,NULL
93,7,"fenugreek","1.0","g",False,NULL
94,7,"red chili","4.0","g",False,NULL
95,7,"onion","100.0","g",False,NULL
96,7,"tomato","100.0","g",False,NULL
97,7,"carrot","100.0","g",False,NULL
98,7,"potato","300.0","g",False,NULL
99,7,"salt","1.0","g",True,NULL
100,7,"chili","10.0","g",False,NULL
101,7,"sambar masala","10.0","g",False,NULL
102,7,"jaggery","5.0","g",False,NULL
103,7,"asafoetida",NULL,NULL,False,NULL
104,7,"curry leafs",NULL,NULL,False,NULL
105,8,"yogurt","240.0","ml",False,NULL
106,8,"honey","15.0","g",False,NULL
107,8,"almond","30.0","g",False,NULL
108,8,"berries blueberries stberries","120.0","g",False,NULL
109,8,"chia seeds","5.0","g",False,NULL
110,9,"coffee","57.5","g",False,NULL
111,9,"water","480.0","ml",False,NULL
112,9,"milk","180.0","ml",False,NULL
113,9,"sugar","10.0","g",False,NULL
114,9,"now pour","60.0","g",False,NULL
115,10,"coffee","15.0","g",False,NULL
116,10,"water","60.0","ml",False,NULL
117,10,"sugar","45.0","g",False,NULL
118,10,"milk","960.0","ml",False,NULL
119,10,"ice cubes","6.0","g",False,NULL
120,10,"blend minutes","1.0","g",False,NULL
121,11,"almond","42.0","g",False,NULL
122,11,"water","79.2","ml",False,NULL
123,11,"milk","541.0","ml",False,NULL
124,11,"sugar","120.0","g",False,NULL
125,11,"cardamom","0.8","g",False,NULL
126,11,"saffron","0.5","g",True,NULL
127,12,"rice","360.0","g",False,NULL
128,12,"onion","100.0","g",False,NULL
