id,meal_id,recipe_id,recipe_name,order_index,is_main_dish,is_optional
1,1,1,Chicken Kolhapuri,,True,False
2,2,2,Veg Kurma Recipe (Vegetable Korma),,True,False
3,3,3,Mushroom Curry (Mushroom Masala),,True,False
4,4,4,Paneer Tikka Masala Recipe,,True,False
5,5,5,Paneer Do Pyaza,,True,False
6,6,6,Masala Dosa,,True,False
7,7,7,Idli Sambar,,True,False
8,8,8,Greek Yogurt Bowl,,True,False
9,9,9,Filter Coffee Recipe (South Indian Coffee),,True,False
10,10,10,Cold Coffee Recipe (Iced Coffee),,True,False
11,11,11,Badam Milk Recipe (Creamy Indian Almond Drink),,True,False
12,12,12,Poha,,True,False
13,13,13,Perfect Upma,,True,False
14,14,14,Aloo Paratha,,True,False
15,15,15,Chilli Paneer Paratha,,True,False
16,16,16,Chicken Chettinad Gravy Recipe,,True,False
17,17,17,Vegetable Sandwich,,True,False
18,18,18,Indian Egg Bhurji,,True,False
19,19,19,Plain Omelette,,True,False
20,20,20,Masala Omelette,,True,False
21,21,21,Rava Kesari,,True,False
22,22,22,Brioche French Toast,,True,False
23,23,23,Classic Pancakes,,True,False
24,24,24,Upgraded Oats Porridge,,True,False
25,25,25,Vegetable Oats Upma,,True,False
26,26,26,16 Beetroot Recipes from Indian Cuisine,,True,False
27,27,27,Sabudana Khichdi,,True,False
28,28,28,Poori Bhaji,,True,False
29,29,29,Chole Bhature Breakfast Plate,,True,False
30,30,30,Egg Fried Rice Breakfast,,True,False
31,31,31,Banana Smoothie Bowl,,True,False
32,32,32,Vegetable Poha Cutlets,,True,False
33,33,33,Bread Pakora,,True,False
34,34,34,Stuffed Cheese Garlic Bread,,True,False
35,35,35,Sprouts Salad Bowl,,True,False
36,36,36,High-Protein Chocolate Peanut Butter Breakfast Parfait,,True,False
37,37,37,Blue Raspberry Smoothie Bowl,,True,False
38,38,38,Mango Smoothie Bowl,,True,False
39,39,39,Besan Chilla,,True,False
40,40,40,Moong Dal Chilla,,True,False
41,41,41,Rava Idli,,True,False
42,42,42,Instant Set Dosa,,True,False
43,43,43,Neer Dosa,,True,False
44,44,44,Andhra Special Pesarattu,,True,False
45,45,45,Onion Uttapam,,True,False
46,46,46,Uttapam - Mixed Veg,,True,False
47,47,47,Eggless Banana Muffins,,True,False
48,48,48,Veggie Egg Muffins,,True,False
49,49,49,Breakfast Burrito - Veg,,True,False
50,50,50,Simple Breakfast Burrito - Egg and Sausage,,True,False
51,51,51,Amazing Creamy Avocado Toast,,True,False
52,52,52,Tomato Cheese Toast,,True,False
53,53,53,Crispy Fried Chicken Sandwich With Honey-Sriracha Sauce on a Brioche Bun,,True,False
54,54,54,Creamy Egg Salad Sandwich,,True,False
55,55,55,Homemade Granola,,True,False
56,56,56,Paneer Bhurji,,True,False
57,57,57,Stuffed Capsicum Omelette,,True,False
58,58,58,Masala Maggi Breakfast,,True,False
59,59,59,Thalipeeth,,True,False
60,60,60,Travel Friendly Methi Thepla,,True,False
61,61,61,Masala Cornflakes Mix,,True,False
62,62,62,Vegetable Sevai Upma,,True,False
63,63,63,Idiyappam with Hotel Style Vegetable Kurma,,True,False
64,64,64,Appam with Vegetable Stew,,True,False
65,65,65,Instant Ragi Dosa,,True,False
66,66,66,Ragi Idli,,True,False
67,67,67,Millet Upma,,True,False
68,68,68,Korra Pongal,,True,False
69,69,69,Ven Pongal,,True,False
70,70,70,Sweet Pongal,,True,False
71,71,71,Dal Khichdi,,True,False
72,72,72,Masala Sabudana Vada,,True,False
73,73,73,Egg Cheese Toast,,True,False
74,74,74,Cheesy Scrambled Eggs,,True,False
75,75,75,Aloo Gobi Recipe,,True,False
76,76,76,Baingan Bharta Recipe (Eggplant Bharta),,True,False
77,77,77,Bhindi Fry Recipe | Okra Stir Fry,,True,False
78,78,78,Stuffed Capsicum | Stuffed Bell Peppers Recipe,,True,False
79,79,79,Veg Burger Recipe (Veggie Burger),,True,False
80,80,80,Navratan Korma Recipe (Navratan Curry),,True,False
81,81,81,Veg Biryani,,True,False
82,82,82,Chicken Biryani,,True,False
83,83,83,Chana Masala Recipe (Chickpea Masala),,True,False
84,84,84,Paneer Butter Masala,,True,False
85,85,85,Dal Tadka,,True,False
86,86,86,Rajma Chawal,,True,False
87,87,87,Chole Bhature,,True,False
88,88,88,Jeera Rice with Dal Fry,,True,False
89,89,89,Lemon Rice,,True,False
90,90,90,Thecha Curd Rice,,True,False
91,91,91,Veg Pulao,,True,False
92,92,92,Mushroom Masala,,True,False
